,2017,2016,2015,2014,2013
负债占资产比率(%),0.117061897966,0.415907412168,0.312150911939,0.139983453171,0.234881830578
长期资金占不动产及设备比率(%),0.0,0.0,0.0,2.09676754569,2.20476583045
流动比率(%),11.1591256215,1.94995922888,2.38681041246,4.69993502461,2.84593330695
速动比率(%),9.54969885118,1.69522252763,2.04723843954,4.20219259146,2.61006177941
应收款项周转率,3.95679632794,5.45249035011,0.975844433868,0.810119407399,0.0
应收款项周转天数,90.9826966473,66.0248761363,368.911260346,444.378935638,0.0
存货周转率,4.93299320847,7.45777132863,5.71779651339,5.6366338478,32.3186256981
存货周转天数,72.9780043853,48.2717938291,62.9613172062,63.8679058674,11.1390875145
固定资产周转率,1.33255582027,5.61568247417,4.93849552622,0.939005220241,2.93931733688
总资产周转率,0.80445163079,0.992979799855,0.361823309613,0.324423861949,1.3957809249
ROA=资产收益率,0.0548152790318,0.113590809784,0.00190045957894,0.0,0.0403195272866
净资产收益率,0.0895655606398,0.180912372032,0.00223333556266,0.0,0.0813500957676
ROA=税前纯益占实收资本比率,0.725437379931,1.46887165155,1.03836073925,0.0,0.0151696278305
毛利率,0.500891944206,0.275214684437,0.222372478374,0.151085502934,0.210189103512
营业利润率,0.304852074276,0.131331381282,0.101000858583,0.0,0.00700084107507
净利率,0.19603986992987155,0.1438833031550439,0.12137161979113872,0.15108550293372128,0.20318826243661617
营业费用率,0.19603986992987155,0.1438833031550439,0.12137161979113872,0.15108550293372128,0.20318826243661617
经营安全边际率,0.6086184411673483,0.47719612618207397,0.4541967572671292,0.0,0.0333073454242313
EPS=基本每股收益,0.609935069222,1.2485374914,0.906695881845,0.0,0.0124375476967
营收增长率,-0.0801862190365,0.0934158106174,0.0360840381138,-0.384961127572,-0.0529553791834
毛利率,0.500891944206,0.275214684437,0.222372478374,0.151085502934,0.210189103512
营业利润率,0.304852074276,0.131331381282,0.101000858583,0.0,0.00700084107507
净利增长率,-0.452103125584,0.377019038462,0.0,0.0,-0.0980409625019
净资本增长率,-0.0356890796901,0.369685584098,0.023566033714,-0.151278001341,-0.0400725305581
现金流量比率,2.10239669506,0.204432406596,0.437651372485,0.834260485655,0.0
现金再投资比率,-0.079458705323,0.112087471754,0.162677266574,0.0888604910958,0.0
