,2017,2016,2015,2014,2013
负债占资产比率(%),0.035882974502,0.0624546408745,0.0435554053137,0.295588056342,0.52788204831
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,2.2008981524
流动比率(%),18.8478609185,11.3833181443,16.3435359948,2.21584956091,1.46158525709
速动比率(%),16.6136789404,9.93978537787,14.3538016901,0.857093147247,0.600324036449
应收款项周转率,0.0,0.0,59.2343387456,4.16674708758,0.0
应收款项周转天数,0.0,0.0,6.07755581684,86.3983324241,0.0
存货周转率,2.69352755475,3.43632232426,9.03263971338,3.43263260608,32.3186256981
存货周转天数,133.653728311,104.763164229,39.8554588053,104.875773586,11.1390875145
固定资产周转率,4.80900919505,6.08729367109,5.52789587276,7.84169162154,8.23491560919
总资产周转率,0.246416059661,0.35766491822,2.49649200933,0.969222977278,1.3957809249
ROA=资产收益率,0.0356033838682,0.0563924123111,0.0834196429336,0.02244134255,0.0403195272866
净资产收益率,0.0374486932747,0.0595661682345,0.117838735712,0.0481763781811,0.0813500957676
ROA=税前纯益占实收资本比率,0.261497847417,0.391076487417,0.515676160083,0.592454731229,0.289824572782
毛利率,0.348298936025,0.357052902271,0.389534982444,0.0952340687998,0.0694074406432
营业利润率,0.170092193396,0.176257656355,0.221881314292,0.032158801096,0.0266754163229
净利率,0.1782067426287712,0.18079524591567234,0.16765366815202856,0.06307526770384747,0.04273202432024133
营业费用率,0.1782067426287712,0.18079524591567234,0.16765366815202856,0.06307526770384747,0.04273202432024133
经营安全边际率,0.48835117137423795,0.49364577415317723,0.5696056177035811,0.3376816878797368,0.3843307875314384
EPS=基本每股收益,0.219146558917,0.339964137833,0.44302954725,0.464430851657,0.212197114698
营收增长率,-0.296565588795,-0.0277762620214,0.0609288805807,0.0394028415329,-0.0529553791834
毛利率,0.348298936025,0.357052902271,0.389534982444,0.0952340687998,0.0694074406432
营业利润率,0.170092193396,0.176257656355,0.221881314292,0.032158801096,0.0266754163229
净利增长率,-0.355383305094,-0.232637777901,0.258987578383,-0.0162399509263,-0.0980409625019
净资本增长率,-0.0159581190608,0.0602085136269,0.124950836643,0.077431536506,-0.0400725305581
现金流量比率,0.551465257822,1.22665469056,1.50024146449,0.393384075637,0.0
现金再投资比率,-0.000709901561491,0.0559281245806,0.0,0.0892484094729,0.0
