,2017,2016,2015,2014,2013
负债占资产比率(%),0.413834200763,0.338395167114,0.342543411958,0.315641148087,0.338401385827
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.81505438261,1.54620048254,1.57200191753,1.96169934627,1.9652674811
速动比率(%),1.627985161,1.34350642921,1.31869353258,1.7338329185,1.7655336287
应收款项周转率,4.03685566263,5.85901773999,5.5225738267,5.78071408565,0.0
应收款项周转天数,89.178318495,61.4437463711,65.186996371,62.2760431784,0.0
存货周转率,10.5570230861,14.4484523093,16.8094920171,21.5164779143,32.3186256981
存货周转天数,34.1005221892,24.9161634959,21.4164711006,16.7313628854,11.1390875145
固定资产周转率,6.60205488802,3.92656134743,3.33026039542,4.22884776136,4.08455952878
总资产周转率,0.705720745144,0.92943095036,0.969446515312,1.13613728715,1.3957809249
ROA=资产收益率,0.0723294671881,0.104015412351,0.113181743789,0.109014467145,0.0403195272866
净资产收益率,0.111061853928,0.157670568428,0.169219593005,0.161846119176,0.0813500957676
ROA=税前纯益占实收资本比率,1.08104976781,1.30957608823,1.13169194584,0.928941710649,0.8205159006
毛利率,0.250745090788,0.209643654116,0.204446955132,0.197624895752,0.190394418646
营业利润率,0.138009451783,0.123802712359,0.122913510003,0.0996145993248,0.0966826860093
净利率,0.11273563900502517,0.08584094175649447,0.08153344512899782,0.09801029642683137,0.09371173263631417
营业费用率,0.11273563900502517,0.08584094175649447,0.08153344512899782,0.09801029642683137,0.09371173263631417
经营安全边际率,0.550397422933282,0.5905388020520478,0.6012000028244633,0.5040589595048538,0.5078021020629885
EPS=基本每股收益,0.823461045833,1.1234100079,0.98145210234,0.791996098487,0.730464996025
营收增长率,-0.143309159611,0.204539200918,0.0600383952248,0.0212666026941,-0.0529553791834
毛利率,0.250745090788,0.209643654116,0.204446955132,0.197624895752,0.190394418646
营业利润率,0.138009451783,0.123802712359,0.122913510003,0.0996145993248,0.0966826860093
净利增长率,-0.215440400053,0.154646320764,0.289795329055,0.090894642127,-0.0980409625019
净资本增长率,0.0854216543355,0.178751097639,0.362169119395,0.109337215468,-0.0400725305581
现金流量比率,0.117054226597,0.410554522085,0.383147901125,0.404602325765,0.312302408432
现金再投资比率,0.0615985883329,0.161725605629,0.145625714322,0.128867979554,0.10448432487
