,2017,2016,2015,2014,2013
负债占资产比率(%),0.298756199185,0.204283043624,0.211650827622,0.315641148087,0.338401385827
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.10042656887,3.6766908098,3.97143443871,1.96169934627,1.9652674811
速动比率(%),1.97066211947,3.11034885742,3.29343413468,1.7338329185,1.7655336287
应收款项周转率,2.53407332628,1.12201031247,5.5225738267,5.78071408565,0.0
应收款项周转天数,142.06376598,320.852665969,65.186996371,62.2760431784,0.0
存货周转率,2.97438340887,1.25054839372,16.8094920171,21.5164779143,32.3186256981
存货周转天数,161.578274585,287.873705494,21.4164711006,16.7313628854,11.1390875145
固定资产周转率,0.78072197499,3.20743641774,3.55225771243,4.22884776136,4.08455952878
总资产周转率,0.568414944783,0.284731695809,0.969446515312,1.13613728715,1.3957809249
ROA=资产收益率,0.101320264122,0.0290941827622,0.113181743789,0.109014467145,0.0403195272866
净资产收益率,0.124242513904,0.0372769978293,0.169219593005,0.161846119176,0.0813500957676
ROA=税前纯益占实收资本比率,0.392160752904,1.0412631106,0.639664337375,0.928941710649,0.8205159006
毛利率,0.764587117031,0.348779279877,0.395700638171,0.197624895752,0.190394418646
营业利润率,0.190433722611,0.198142711652,0.176572963887,0.0996145993248,0.0966826860093
净利率,0.5741533944192572,0.15063656822526342,0.21912767428426544,0.09801029642683137,0.09371173263631417
营业费用率,0.5741533944192572,0.15063656822526342,0.21912767428426544,0.09801029642683137,0.09371173263631417
经营安全边际率,0.24906739646753226,0.5681034484664821,0.44622865584214255,0.5040589595048538,0.5078021020629885
EPS=基本每股收益,0.36154434043,0.878964907333,0.53463088625,0.791996098487,0.730464996025
营收增长率,-0.307688041015,-0.153990623271,0.0600383952248,0.0212666026941,-0.0529553791834
毛利率,0.764587117031,0.348779279877,0.395700638171,0.197624895752,0.190394418646
营业利润率,0.190433722611,0.198142711652,0.176572963887,0.0996145993248,0.0966826860093
净利增长率,-0.35274714895,-0.441417953619,0.289795329055,0.090894642127,-0.0980409625019
净资本增长率,-0.152589425899,0.0364987379688,0.362169119395,0.109337215468,-0.0400725305581
现金流量比率,0.0,0.793652926603,0.106762818934,0.404602325765,0.312302408432
现金再投资比率,0.0,0.078812218232,0.00349602797695,0.128867979554,0.10448432487
